source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,bp_rp,ruwe
4003406537783052416,183.22175368408568,26.25035511662692,11.651512386948324,0.020927375,-12.161124630803098,0.017993435,-9.417098728111796,0.020843025,11.097765,1.2222233,1.1021974
4009398051521135104,184.5531837140895,26.82094656787876,11.653585673657183,0.130423,-9.87692092459563,0.12535694,-6.366490901153878,0.12033705,15.471704,3.1378288,1.2823802
4010324591930017920,185.83723391238857,28.920775033411964,12.167595664422532,0.15063603,-13.500757737177928,0.16380435,-9.162838065577878,0.14297053,17.936075,3.6278114,0.97256076
4011691010005942144,187.1441847069462,29.54491229633059,11.677644847052237,0.12147564,-12.057398691818943,0.13096528,-8.815651168475064,0.1345625,17.83057,3.554926,0.9634192
3962066103169597184,189.69178561010835,26.316167007767,11.563101278482398,0.057004664,-12.357210157797631,0.058332857,-8.627167806144456,0.048510734,16.279625,2.9948492,0.9994267
4008364338792386304,186.25933929454362,25.560626104905666,11.594732410196766,0.024390846,-12.64408676682428,0.02428889,-8.083026259051445,0.02179952,8.031269,0.7173023,0.94775957
4009709385110617472,183.10366652928352,27.380056869985832,11.763243946398019,0.02317449,-12.108937825758861,0.024367535,-9.325487788320446,0.021421539,7.979468,0.54776573,1.0208906
4009922518567614848,185.6622395957559,27.778650391534278,10.953230604062771,0.16184904,-11.733134539084572,0.17003693,-8.31034223312989,0.13636768,17.858728,3.698351,1.1070142
3952978708285528960,186.73598448619268,22.673962482977643,11.374720176864988,0.025414383,-11.118476007641146,0.026701966,-8.16688831687148,0.029949823,14.171208,2.3837833,1.1558989
4010812263992578048,187.33489229905072,28.43431844829269,11.098582802383646,0.05457495,-12.085739173785107,0.049299713,-8.260485241293622,0.05843786,15.978721,2.8311672,1.0280377
3959638140977409152,188.89196725758686,25.017138884176177,11.802125958619394,0.06200948,-12.149855192127639,0.06735495,-8.535595404407747,0.05495626,16.56118,3.1147614,0.9813816
4003147224837702272,182.94819105959564,24.871307359627504,12.139399754793251,0.13582881,-12.565122830765404,0.12074768,-10.440349654936758,0.08901233,17.268696,3.3445835,1.0980872
4008487999490702720,185.0602707014887,25.43534106387628,11.09760298651183,0.028483419,-11.913711473971935,0.028685527,-8.857459794796439,0.022600649,15.0587225,2.6121721,0.9785833
4008867605880031872,186.7470101787517,26.82566108948367,11.93944924537986,0.14510456,-11.588622479038865,0.11241099,-9.13827800310807,0.1625572,4.931158,0.15859509,1.1913774
4009058199348854656,186.47587093168895,26.86071146542174,11.50106020325637,0.026346087,-11.672518262192137,0.023816332,-7.787479815133118,0.025881156,14.643725,2.4846992,1.0813879
3953787429152384256,186.8361460878174,23.329808979850846,11.966310372022928,0.014976233,-12.277093567884432,0.01567974,-8.940706234819281,0.015496744,10.11321,0.95964146,0.8009669
4006703041146508416,182.69200433735585,27.281464805790627,11.584694198088132,0.053240955,-11.761819207004875,0.041033402,-9.290588566170351,0.05751541,5.977178,0.18737984,1.0511932
3960130997064687616,186.53525487065295,24.658664635535086,11.926538682290419,0.028399343,-11.939710699836546,0.031845886,-9.151938160972971,0.024474386,14.70397,2.715807,1.1251478
3962716670455862528,191.12878627848792,28.163668659060097,12.029821150011452,0.03734682,-12.66790372709173,0.03276592,-8.895189886066802,0.034334015,15.1324625,2.7805805,1.0721408
4008744254419270400,185.920814928764,26.97989681767428,11.572285687464104,0.027467582,-12.11999705004968,0.021930933,-7.866773723432255,0.02401302,8.263161,0.596159,0.9566775
4010203993544316032,184.96087288418246,28.464316008102035,11.766396304364672,0.026127508,-12.181839135996684,0.027454488,-8.646714491273952,0.03946382,6.6043715,0.25273037,0.99754745
4010969150557895936,187.96058999571986,29.314114665982913,12.069768567387452,0.023182767,-10.833256700028482,0.02216633,-5.990169113276165,0.021313505,7.467521,0.46981382,1.0811329
4011987813721043456,186.1814216820628,30.297252283681214,11.698690900257414,0.018011902,-11.788240749134804,0.019123856,-10.251083556442852,0.016423944,13.898965,2.247222,1.101506
4013188785360910336,182.89644748685646,29.3789904159869,11.242509496305464,0.015934752,-11.775194086338871,0.016830377,-8.766004021571721,0.013738568,10.994011,1.1575375,1.1865225
3959965486205062528,187.75227445791788,24.56712552519047,12.078489015650161,0.12136598,-12.474288653672826,0.08192789,-9.084668264388261,0.12849921,5.4305024,0.08141613,1.1702222
3962261129044623232,190.19119765902863,27.205959495334447,11.76710938207463,0.035678882,-12.731098200522506,0.035541967,-8.489160744686737,0.03706291,15.288213,2.8021145,1.1187139
4002505586787874560,183.88109220359883,25.066958053356327,11.353571605635834,0.052026246,-12.014206514234901,0.0454549,-9.11866078299803,0.038220234,16.01661,2.9623222,1.1208072
4003180691222880896,183.178194533244,25.22841240830634,11.618782119047932,0.062207866,-11.822641437314502,0.06823235,-8.07485672362712,0.04886022,16.48972,3.0454016,1.0741006
